RANK,AirportIATA
1,ATL
2,PEK
3,LHR
4,ORD
5,HND
6,LAX
7,CDG
8,DFW
9,FRA
10,HKG
11,DEN
12,DXB
13,CGK
14,AMS
15,MAD
16,BKK
17,JFK
18,SIN
19,CAN
20,LAS
21,PVG
22,SFO
23,PHX
24,IAH
25,CLT
26,MIA
27,MUC
28,KUL
29,FCO
30,IST
31,SYD
32,MCO
33,ICN
34,DEL
35,BCN
36,LGW
37,EWR
38,YYZ
39,SHA
40,MSP
41,SEA
42,DTW
43,PHL
44,BOM
45,GRU
46,MNL
47,CTU
48,BOS
49,SZX
50,MEL
51,NRT
52,ORY
53,MEX
54,DME
55,AYT
56,TPE
57,ZRH
58,LGA
59,FLL
60,IAD
61,PMI
62,CPH
63,SVO
64,BWI
65,KMG
66,VIE
67,OSL
68,JED
69,BNE
70,SLC
71,DUS
72,BOG
73,MXP
74,JNB
75,ARN
76,MAN
77,MDW
78,DCA
79,BRU
80,DUB
81,GMP
82,DOH
83,STN
84,HGH
85,CJU
86,YVR
87,TXL
88,SAN
89,TPA
90,CGH
91,BSB
92,CTS
93,XMN
94,RUH
95,FUK
96,GIG
97,HEL
98,LIS
99,ATH
100,AKL
